in s,C1 in V
-5.9737680E-02,-1.39648E-03
-5.9736752E-02,-1.49414E-03
-5.9735824E-02,-1.78711E-03
-5.9734896E-02,-1.98242E-03
-5.9733968E-02,-1.59180E-03
-5.9733040E-02,-1.49414E-03
-5.9732112E-02,-2.27539E-03
-5.9731184E-02,-1.68945E-03
-5.9730256E-02,-1.39648E-03
-5.9729328E-02,-1.49414E-03
-5.9728400E-02,-1.78711E-03
-5.9727472E-02,-1.68945E-03
-5.9726544E-02,-1.49414E-03
-5.9725616E-02,-1.78711E-03
-5.9724688E-02,-1.59180E-03
-5.9723760E-02,-1.39648E-03
-5.9722832E-02,-1.78711E-03
-5.9721904E-02,-1.68945E-03
-5.9720976E-02,-1.68945E-03
-5.9720048E-02,-1.88477E-03
-5.9719120E-02,-1.88477E-03
-5.9718192E-02,-1.59180E-03
-5.9717264E-02,-1.59180E-03
-5.9716336E-02,-2.08008E-03
-5.9715408E-02,-1.68945E-03
-5.9714480E-02,-1.78711E-03
-5.9713552E-02,-1.59180E-03
-5.9712624E-02,-1.68945E-03
-5.9711696E-02,-1.78711E-03
-5.9710768E-02,-1.49414E-03
-5.9709840E-02,-1.49414E-03
-5.9708912E-02,-2.08008E-03
-5.9707984E-02,-1.78711E-03
-5.9707056E-02,-1.59180E-03
-5.9706128E-02,-1.78711E-03
-5.9705200E-02,-1.78711E-03
-5.9704272E-02,-1.98242E-03
-5.9703344E-02,-1.39648E-03
-5.9702416E-02,-1.39648E-03
-5.9701488E-02,-1.20117E-03
-5.9700560E-02,-2.08008E-03
-5.9699632E-02,-1.59180E-03
-5.9698704E-02,-2.08008E-03
-5.9697776E-02,-1.39648E-03
-5.9696848E-02,-1.59180E-03
-5.9695920E-02,-1.59180E-03
-5.9694992E-02,-1.49414E-03
-5.9694064E-02,-1.68945E-03
-5.9693136E-02,-1.39648E-03
-5.9692208E-02,-1.59180E-03
-5.9691280E-02,-1.59180E-03
-5.9690352E-02,-1.59180E-03
-5.9689424E-02,-1.59180E-03
-5.9688496E-02,-1.88477E-03
-5.9687568E-02,-1.20117E-03
-5.9686640E-02,-1.29883E-03
-5.9685712E-02,-1.49414E-03
-5.9684784E-02,-1.78711E-03
-5.9683856E-02,-1.88477E-03
-5.9682928E-02,-1.10352E-03
-5.9682000E-02,-1.68945E-03
-5.9681072E-02,-1.20117E-03
-5.9680144E-02,-1.78711E-03
-5.9679216E-02,-1.29883E-03
-5.9678288E-02,-1.78711E-03
-5.9677360E-02,-1.10352E-03
-5.9676432E-02,-1.39648E-03
-5.9675504E-02,-1.39648E-03
-5.9674576E-02,-1.39648E-03
-5.9673648E-02,-1.88477E-03
-5.9672720E-02,-1.78711E-03
-5.9671792E-02,-1.88477E-03
-5.9670864E-02,-1.98242E-03
-5.9669936E-02,-1.88477E-03
-5.9669008E-02,-1.39648E-03
-5.9668080E-02,-1.88477E-03
-5.9667152E-02,-1.29883E-03
-5.9666224E-02,-2.08008E-03
-5.9665296E-02,-1.98242E-03
-5.9664368E-02,-1.29883E-03
-5.9663440E-02,-1.59180E-03
-5.9662512E-02,-1.00586E-03
-5.9661584E-02,-1.68945E-03
-5.9660656E-02,-1.59180E-03
-5.9659728E-02,-1.39648E-03
-5.9658800E-02,-1.49414E-03
-5.9657872E-02,-1.59180E-03
-5.9656944E-02,-1.59180E-03
-5.9656016E-02,-1.49414E-03
-5.9655088E-02,-1.49414E-03
-5.9654160E-02,-1.88477E-03
-5.9653232E-02,-1.59180E-03
-5.9652304E-02,-1.49414E-03
-5.9651376E-02,-1.20117E-03
-5.9650448E-02,-1.88477E-03
-5.9649520E-02,-1.49414E-03
-5.9648592E-02,-1.49414E-03
-5.9647664E-02,-1.98242E-03
-5.9646736E-02,-1.88477E-03
-5.9645808E-02,-1.10352E-03
-5.9644880E-02,-1.98242E-03
-5.9643952E-02,-1.49414E-03
-5.9643024E-02,-1.98242E-03
-5.9642096E-02,-1.78711E-03
-5.9641168E-02,-1.39648E-03
-5.9640240E-02,-1.78711E-03
-5.9639312E-02,-1.98242E-03
-5.9638384E-02,-1.29883E-03
-5.9637456E-02,-1.59180E-03
-5.9636528E-02,-1.29883E-03
-5.9635600E-02,-1.78711E-03
-5.9634672E-02,-1.49414E-03
-5.9633744E-02,-1.88477E-03
-5.9632816E-02,-1.49414E-03
-5.9631888E-02,-2.17773E-03
-5.9630960E-02,-1.29883E-03
-5.9630032E-02,-1.39648E-03
-5.9629104E-02,-1.78711E-03
-5.9628176E-02,-1.88477E-03
-5.9627248E-02,-1.49414E-03
-5.9626320E-02,-1.68945E-03
-5.9625392E-02,-1.78711E-03
-5.9624464E-02,-1.88477E-03
-5.9623536E-02,-1.39648E-03
-5.9622608E-02,-1.78711E-03
-5.9621680E-02,-1.39648E-03
-5.9620752E-02,-1.98242E-03
-5.9619824E-02,-1.49414E-03
-5.9618896E-02,-1.78711E-03
-5.9617968E-02,-1.39648E-03
-5.9617040E-02,-1.59180E-03
-5.9616112E-02,-1.88477E-03
-5.9615184E-02,-1.49414E-03
-5.9614256E-02,-1.39648E-03
-5.9613328E-02,-1.20117E-03
-5.9612400E-02,-1.68945E-03
-5.9611472E-02,-1.39648E-03
-5.9610544E-02,-1.59180E-03
-5.9609616E-02,-1.59180E-03
-5.9608688E-02,-1.39648E-03
-5.9607760E-02,-1.49414E-03
-5.9606832E-02,-1.39648E-03
-5.9605904E-02,-1.88477E-03
-5.9604976E-02,-1.88477E-03
-5.9604048E-02,-1.29883E-03
-5.9603120E-02,-1.00586E-03
-5.9602192E-02,-1.68945E-03
-5.9601264E-02,-1.78711E-03
-5.9600336E-02,-1.49414E-03
-5.9599408E-02,-1.39648E-03
-5.9598480E-02,-1.68945E-03
-5.9597552E-02,-1.39648E-03
-5.9596624E-02,-1.29883E-03
-5.9595696E-02,-1.39648E-03
-5.9594768E-02,-1.98242E-03
-5.9593840E-02,-1.98242E-03
-5.9592912E-02,-1.98242E-03
-5.9591984E-02,-1.78711E-03
-5.9591056E-02,-1.78711E-03
-5.9590128E-02,-1.59180E-03
-5.9589200E-02,-1.68945E-03
-5.9588272E-02,-1.39648E-03
-5.9587344E-02,-1.59180E-03
-5.9586416E-02,-1.59180E-03
-5.9585488E-02,-1.49414E-03
-5.9584560E-02,-1.20117E-03
-5.9583632E-02,-1.59180E-03
-5.9582704E-02,-1.20117E-03
-5.9581776E-02,-1.78711E-03
-5.9580848E-02,-1.39648E-03
-5.9579920E-02,-2.08008E-03
-5.9578992E-02,-1.29883E-03
-5.9578064E-02,-1.49414E-03
-5.9577136E-02,-1.29883E-03
-5.9576208E-02,-1.68945E-03
-5.9575280E-02,-1.78711E-03
-5.9574352E-02,-1.88477E-03
-5.9573424E-02,-1.78711E-03
-5.9572496E-02,-1.49414E-03
-5.9571568E-02,-1.20117E-03
-5.9570640E-02,-1.29883E-03
-5.9569712E-02,-1.29883E-03
-5.9568784E-02,-1.39648E-03
-5.9567856E-02,-1.98242E-03
-5.9566928E-02,-1.68945E-03
-5.9566000E-02,-1.78711E-03
-5.9565072E-02,-1.49414E-03
-5.9564144E-02,-1.39648E-03
-5.9563216E-02,-1.10352E-03
-5.9562288E-02,-1.49414E-03
-5.9561360E-02,-1.39648E-03
-5.9560432E-02,-1.88477E-03
-5.9559504E-02,-1.68945E-03
-5.9558576E-02,-1.68945E-03
-5.9557648E-02,-1.88477E-03
-5.9556720E-02,-1.78711E-03
-5.9555792E-02,-1.78711E-03
-5.9554864E-02,-1.98242E-03
-5.9553936E-02,-1.68945E-03
-5.9553008E-02,-1.20117E-03
-5.9552080E-02,-1.39648E-03
-5.9551152E-02,-1.98242E-03
-5.9550224E-02,-1.88477E-03
-5.9549296E-02,-1.59180E-03
-5.9548368E-02,-1.88477E-03
-5.9547440E-02,-1.39648E-03
-5.9546512E-02,-1.88477E-03
-5.9545584E-02,-1.59180E-03
-5.9544656E-02,-1.59180E-03
-5.9543728E-02,-1.59180E-03
-5.9542800E-02,-1.59180E-03
-5.9541872E-02,-1.59180E-03
-5.9540944E-02,-1.49414E-03
-5.9540016E-02,-2.08008E-03
-5.9539088E-02,-1.88477E-03
-5.9538160E-02,-1.78711E-03
-5.9537232E-02,-1.49414E-03
-5.9536304E-02,-1.59180E-03
-5.9535376E-02,-1.49414E-03
-5.9534448E-02,-1.49414E-03
-5.9533520E-02,-1.59180E-03
-5.9532592E-02,-1.59180E-03
-5.9531664E-02,-1.49414E-03
-5.9530736E-02,-1.68945E-03
-5.9529808E-02,-1.88477E-03
-5.9528880E-02,-1.49414E-03
-5.9527952E-02,-1.78711E-03
-5.9527024E-02,-1.29883E-03
-5.9526096E-02,-1.49414E-03
-5.9525168E-02,-1.98242E-03
-5.9524240E-02,-1.68945E-03
-5.9523312E-02,-1.68945E-03
-5.9522384E-02,-1.49414E-03
-5.9521456E-02,-1.39648E-03
-5.9520528E-02,-1.88477E-03
-5.9519600E-02,-1.39648E-03
